customer_id,signup_date,plan_type,contract_type,monthly_fee,payment_method,region,is_active,cancel_date
30,2025-02-03,Basic,Annual,9.99,credit_card,North America,1,
31,2024-06-02,Basic,Monthly,9.99,bank_transfer,Oceania,0,2025-05-29
32,2024-12-29,Basic,Monthly,9.99,paypal,North America,1,
33,2024-05-26,Basic,Annual,9.99,paypal,Asia,1,
34,2024-05-24,Premium,Monthly,39.99,credit_card,Europe,1,
35,2023-12-16,Premium,Monthly,39.99,paypal,Europe,0,2025-07-29
36,2025-06-09,Premium,Monthly,39.99,apple_pay,Asia,1,
37,2024-07-10,Basic,Monthly,9.99,bank_transfer,Asia,1,
38,2025-03-05,Premium,Monthly,39.99,credit_card,North America,1,
39,2023-01-06,Premium,Monthly,39.99,credit_card,North America,1,
40,2023-09-21,Basic,Monthly,9.99,credit_card,Asia,1,
41,2024-07-17,Premium,Monthly,39.99,credit_card,North America,0,2025-01-12
42,2023-07-23,Basic,Monthly,9.99,paypal,Europe,1,
43,2024-09-20,Premium,Annual,39.99,credit_card,North America,1,
44,2023-03-18,Standard,Monthly,19.99,credit_card,North America,0,2025-01-01
45,2023-07-26,Basic,Annual,9.99,credit_card,Asia,1,
46,2023-04-11,Standard,Monthly,19.99,bank_transfer,North America,1,
47,2025-02-16,Premium,Monthly,39.99,credit_card,Europe,0,2025-07-08
48,2023-09-30,Basic,Monthly,9.99,credit_card,North America,1,
49,2024-11-27,Basic,Annual,9.99,apple_pay,Europe,1,
50,2023-08-31,Premium,Monthly,39.99,bank_transfer,Europe,1,
51,2024-01-16,Basic,Monthly,9.99,bank_transfer,North America,1,
52,2023-02-11,Standard,Monthly,19.99,apple_pay,North America,1,
53,2023-02-12,Standard,Annual,19.99,apple_pay,North America,1,
54,2024-06-26,Standard,Monthly,19.99,paypal,Europe,1,
55,2024-07-07,Standard,Monthly,19.99,paypal,South America,0,2025-10-05
56,2025-07-03,Standard,Monthly,19.99,bank_transfer,Europe,1,
57,2024-12-12,Standard,Monthly,19.99,credit_card,North America,0,2025-05-02
58,2023-02-22,Basic,Monthly,9.99,paypal,Europe,1,
59,2023-03-08,Basic,Annual,9.99,paypal,South America,0,2024-06-16
60,2023-06-04,Basic,Monthly,9.99,paypal,North America,1,
61,2024-05-16,Basic,Monthly,9.99,credit_card,North America,1,
62,2023-03-26,Premium,Annual,39.99,credit_card,Asia,1,
63,2023-05-22,Standard,Monthly,19.99,credit_card,South America,1,
64,2025-10-02,Standard,Monthly,19.99,apple_pay,Europe,0,2025-11-16
65,2025-10-27,Standard,Annual,19.99,credit_card,Asia,0,2025-12-25
66,2023-07-26,Standard,Monthly,19.99,bank_transfer,North America,1,
67,2024-07-25,Standard,Annual,19.99,paypal,Asia,1,
68,2025-05-25,Basic,Annual,9.99,apple_pay,Europe,0,2025-07-30
69,2024-02-02,Premium,Annual,39.99,credit_card,North America,1,
70,2024-07-27,Standard,Annual,19.99,paypal,Europe,1,
71,2025-06-04,Standard,Monthly,19.99,paypal,South America,0,2025-10-07
72,2024-05-24,Standard,Monthly,19.99,credit_card,North America,1,
73,2023-06-15,Standard,Monthly,19.99,credit_card,Europe,1,
74,2025-03-21,Basic,Monthly,9.99,credit_card,North America,1,
75,2025-02-19,Standard,Monthly,19.99,paypal,North America,1,
76,2023-08-09,Standard,Monthly,19.99,paypal,Asia,1,
77,2024-05-13,Standard,Monthly,19.99,bank_transfer,North America,1,
78,2023-06-18,Basic,Annual,9.99,credit_card,North America,1,
79,2023-11-01,Basic,Annual,9.99,credit_card,Asia,1,
80,2023-05-29,Standard,Monthly,19.99,credit_card,South America,1,
81,2023-03-19,Basic,Monthly,9.99,paypal,North America,0,2025-04-01
82,2023-03-24,Standard,Monthly,19.99,credit_card,Asia,1,
83,2023-01-12,Premium,Monthly,39.99,credit_card,North America,0,2025-08-20
84,2023-09-11,Standard,Monthly,19.99,credit_card,South America,0,2025-05-13
85,2025-03-05,Standard,Monthly,19.99,credit_card,North America,1,
86,2024-02-05,Standard,Monthly,19.99,paypal,Asia,1,
87,2025-09-02,Basic,Annual,9.99,credit_card,Asia,1,
88,2024-03-08,Premium,Monthly,39.99,bank_transfer,North America,1,
89,2024-06-03,Basic,Annual,9.99,paypal,North America,1,
90,2025-06-07,Basic,Annual,9.99,credit_card,North America,0,2025-10-29
91,2023-05-06,Standard,Monthly,19.99,apple_pay,Europe,1,
92,2024-06-25,Standard,Annual,19.99,bank_transfer,Asia,1,
93,2025-07-13,Basic,Monthly,9.99,paypal,Oceania,1,
94,2023-01-16,Standard,Monthly,19.99,credit_card,North America,1,
95,2025-08-17,Premium,Monthly,39.99,apple_pay,Europe,0,2025-12-13
96,2025-09-05,Premium,Annual,39.99,bank_transfer,North America,0,2025-11-16
97,2023-09-27,Standard,Annual,19.99,bank_transfer,Asia,1,
98,2023-09-27,Basic,Monthly,9.99,bank_transfer,North America,1,
99,2025-02-11,Basic,Monthly,9.99,bank_transfer,Europe,1,
100,2025-02-28,Premium,Monthly,39.99,paypal,North America,1,
101,2024-08-18,Basic,Monthly,9.99,credit_card,Asia,1,
102,2023-07-19,Basic,Monthly,9.99,paypal,Oceania,1,
103,2025-07-18,Basic,Annual,9.99,credit_card,North America,0,2025-10-15
104,2024-07-24,Basic,Monthly,9.99,paypal,North America,1,
105,2024-08-23,Standard,Monthly,19.99,bank_transfer,North America,1,
106,2025-10-07,Standard,Annual,19.99,paypal,Europe,1,
107,2024-12-26,Basic,Annual,9.99,credit_card,Europe,1,
108,2025-02-10,Basic,Monthly,9.99,apple_pay,Europe,1,
109,2023-07-12,Basic,Monthly,9.99,credit_card,Europe,1,
110,2025-01-01,Basic,Monthly,9.99,apple_pay,North America,1,
111,2025-09-20,Standard,Monthly,19.99,credit_card,North America,0,2025-12-10
112,2024-09-29,Standard,Monthly,19.99,credit_card,North America,1,
113,2025-01-21,Basic,Annual,9.99,credit_card,Europe,1,
114,2024-06-12,Standard,Annual,19.99,credit_card,North America,1,
115,2024-06-19,Standard,Monthly,19.99,credit_card,South America,1,
116,2025-09-12,Basic,Monthly,9.99,credit_card,South America,0,2025-12-27
117,2025-04-20,Basic,Monthly,9.99,credit_card,Europe,1,
118,2023-04-18,Basic,Annual,9.99,paypal,North America,1,
119,2023-08-24,Premium,Monthly,39.99,paypal,Oceania,1,
120,2024-05-17,Basic,Annual,9.99,paypal,North America,1,
121,2024-08-30,Basic,Monthly,9.99,credit_card,North America,1,
122,2025-03-02,Standard,Monthly,19.99,bank_transfer,Europe,0,2025-06-14
123,2023-03-20,Basic,Monthly,9.99,apple_pay,North America,1,
124,2025-10-15,Basic,Annual,9.99,bank_transfer,Europe,1,
125,2023-01-25,Basic,Monthly,9.99,credit_card,Europe,0,2025-08-22
126,2025-04-24,Basic,Annual,9.99,credit_card,Europe,1,
127,2024-04-07,Standard,Monthly,19.99,bank_transfer,Oceania,1,
128,2023-03-04,Basic,Annual,9.99,paypal,Europe,1,
129,2025-07-27,Standard,Monthly,19.99,apple_pay,North America,0,2025-12-22
130,2023-05-27,Basic,Monthly,9.99,paypal,Asia,1,
131,2024-07-29,Standard,Annual,19.99,bank_transfer,Europe,1,
132,2025-07-16,Standard,Monthly,19.99,credit_card,Asia,0,2025-09-25
133,2023-01-22,Standard,Annual,19.99,credit_card,North America,1,
134,2025-08-23,Basic,Monthly,9.99,apple_pay,Europe,1,
135,2025-04-12,Basic,Monthly,9.99,paypal,North America,1,
136,2024-06-24,Basic,Annual,9.99,bank_transfer,North America,1,
137,2025-04-06,Standard,Monthly,19.99,credit_card,Europe,1,
138,2024-12-13,Standard,Monthly,19.99,credit_card,North America,1,
139,2023-09-01,Premium,Annual,39.99,apple_pay,North America,1,
140,2024-09-10,Standard,Monthly,19.99,bank_transfer,Europe,0,2025-07-20
141,2023-09-27,Basic,Annual,9.99,paypal,Asia,1,
142,2024-12-30,Standard,Annual,19.99,credit_card,South America,1,
143,2023-12-28,Basic,Monthly,9.99,bank_transfer,North America,1,
144,2024-08-30,Standard,Annual,19.99,bank_transfer,North America,1,
145,2025-10-29,Basic,Monthly,9.99,apple_pay,South America,1,
146,2023-08-19,Standard,Monthly,19.99,credit_card,North America,0,2024-07-18
147,2023-02-19,Premium,Monthly,39.99,paypal,North America,1,
148,2025-08-19,Basic,Annual,9.99,credit_card,Europe,1,
149,2024-07-08,Basic,Annual,9.99,bank_transfer,Asia,1,
150,2025-09-03,Premium,Monthly,39.99,credit_card,North America,1,
151,2023-08-01,Standard,Monthly,19.99,apple_pay,Europe,1,
152,2023-07-29,Premium,Monthly,39.99,credit_card,Europe,0,2024-05-30
153,2023-10-18,Basic,Annual,9.99,credit_card,Asia,1,
154,2024-07-12,Standard,Annual,19.99,credit_card,North America,1,
155,2025-01-18,Basic,Monthly,9.99,bank_transfer,Asia,1,
156,2023-01-09,Basic,Annual,9.99,credit_card,Asia,1,
157,2025-04-19,Standard,Monthly,19.99,apple_pay,Europe,1,
158,2024-01-01,Basic,Monthly,9.99,credit_card,Europe,1,
159,2023-03-04,Basic,Monthly,9.99,credit_card,Asia,1,
160,2023-05-25,Basic,Monthly,9.99,credit_card,North America,1,
161,2024-03-08,Basic,Monthly,9.99,paypal,South America,1,
162,2024-02-08,Basic,Annual,9.99,credit_card,Europe,0,2025-05-06
163,2024-09-13,Standard,Monthly,19.99,apple_pay,Asia,1,
164,2024-09-10,Standard,Monthly,19.99,credit_card,North America,1,
165,2023-04-01,Premium,Annual,39.99,bank_transfer,Asia,1,
166,2024-07-11,Basic,Monthly,9.99,credit_card,North America,1,
167,2024-03-04,Premium,Annual,39.99,credit_card,North America,1,
168,2025-07-05,Premium,Monthly,39.99,bank_transfer,North America,1,
169,2024-09-23,Basic,Monthly,9.99,paypal,South America,1,
170,2025-03-15,Basic,Annual,9.99,credit_card,South America,0,2025-10-18
171,2024-12-31,Basic,Monthly,9.99,paypal,Europe,1,
172,2023-11-22,Premium,Monthly,39.99,credit_card,Asia,1,
173,2023-09-03,Standard,Monthly,19.99,credit_card,Europe,1,
174,2024-10-31,Premium,Monthly,39.99,credit_card,Asia,1,
175,2024-11-29,Premium,Monthly,39.99,bank_transfer,North America,1,
176,2025-05-26,Basic,Monthly,9.99,credit_card,Asia,0,2025-09-13
177,2023-12-27,Basic,Monthly,9.99,bank_transfer,Asia,1,
178,2024-11-27,Basic,Monthly,9.99,paypal,North America,1,
179,2023-09-14,Standard,Monthly,19.99,credit_card,North America,1,
180,2025-08-30,Basic,Monthly,9.99,credit_card,Asia,1,
181,2024-09-15,Standard,Monthly,19.99,credit_card,Asia,1,
182,2025-02-14,Basic,Monthly,9.99,paypal,North America,1,
183,2023-10-02,Premium,Annual,39.99,credit_card,North America,1,
184,2024-11-05,Basic,Monthly,9.99,bank_transfer,Asia,1,
185,2024-03-30,Standard,Monthly,19.99,paypal,Europe,0,2025-02-27
186,2025-10-31,Premium,Monthly,39.99,credit_card,South America,1,
187,2024-07-09,Premium,Monthly,39.99,credit_card,Europe,1,
188,2025-04-13,Basic,Monthly,9.99,credit_card,North America,0,2025-10-24
189,2023-05-25,Basic,Monthly,9.99,credit_card,North America,1,
190,2025-09-10,Premium,Annual,39.99,credit_card,North America,1,
191,2025-07-05,Premium,Annual,39.99,bank_transfer,Europe,1,
192,2023-03-29,Basic,Monthly,9.99,apple_pay,Europe,0,2025-08-07
193,2023-07-21,Standard,Monthly,19.99,apple_pay,North America,1,
194,2024-09-16,Basic,Monthly,9.99,credit_card,Asia,1,
195,2023-07-25,Basic,Monthly,9.99,paypal,South America,1,
196,2023-03-11,Standard,Monthly,19.99,credit_card,Europe,1,
197,2024-06-01,Basic,Monthly,9.99,credit_card,North America,1,
198,2023-10-14,Standard,Annual,19.99,credit_card,Asia,1,
199,2025-07-17,Standard,Monthly,19.99,apple_pay,North America,1,
200,2023-03-20,Basic,Monthly,9.99,paypal,North America,1,
201,2023-03-08,Standard,Monthly,19.99,credit_card,Asia,1,
202,2024-11-24,Standard,Monthly,19.99,credit_card,Asia,1,
203,2023-03-13,Premium,Annual,39.99,bank_transfer,North America,1,
204,2024-02-25,Basic,Annual,9.99,credit_card,Europe,1,
205,2023-05-04,Basic,Monthly,9.99,credit_card,North America,1,
206,2023-08-01,Basic,Annual,9.99,credit_card,Europe,1,
207,2025-06-13,Basic,Monthly,9.99,credit_card,Europe,1,
208,2025-09-21,Basic,Monthly,9.99,credit_card,North America,0,2025-12-04
209,2023-02-24,Premium,Annual,39.99,credit_card,Europe,1,
210,2024-10-15,Basic,Monthly,9.99,credit_card,Europe,1,
211,2023-01-07,Standard,Monthly,19.99,apple_pay,North America,1,
212,2023-10-15,Basic,Monthly,9.99,bank_transfer,North America,1,
213,2024-04-26,Basic,Monthly,9.99,credit_card,Oceania,1,
214,2025-06-22,Basic,Annual,9.99,credit_card,Asia,1,
215,2023-10-30,Premium,Annual,39.99,credit_card,Asia,1,
216,2024-07-16,Premium,Annual,39.99,paypal,Europe,1,
217,2024-07-17,Basic,Monthly,9.99,credit_card,Asia,1,
218,2025-01-13,Standard,Monthly,19.99,credit_card,North America,1,
219,2023-01-26,Premium,Annual,39.99,credit_card,North America,1,
220,2023-12-19,Basic,Monthly,9.99,apple_pay,Europe,0,2025-06-05
221,2025-07-08,Standard,Annual,19.99,apple_pay,North America,1,
222,2025-07-31,Premium,Monthly,39.99,bank_transfer,Europe,1,
223,2023-08-29,Standard,Monthly,19.99,credit_card,North America,0,2025-07-06
224,2025-09-30,Basic,Monthly,9.99,credit_card,Europe,1,
225,2024-05-24,Standard,Monthly,19.99,credit_card,North America,1,
226,2024-06-07,Standard,Monthly,19.99,apple_pay,Europe,1,
227,2023-04-17,Premium,Monthly,39.99,bank_transfer,Europe,1,
228,2023-03-14,Standard,Monthly,19.99,paypal,Europe,1,
229,2023-02-10,Premium,Monthly,39.99,paypal,Europe,1,
230,2025-03-14,Basic,Monthly,9.99,paypal,Asia,1,
231,2023-04-20,Premium,Monthly,39.99,credit_card,North America,1,
232,2023-08-09,Standard,Annual,19.99,credit_card,North America,1,
233,2024-06-24,Basic,Monthly,9.99,paypal,Asia,0,2025-05-04
234,2024-06-21,Standard,Annual,19.99,credit_card,Asia,1,
235,2023-04-04,Basic,Monthly,9.99,credit_card,North America,1,
236,2023-09-15,Basic,Monthly,9.99,credit_card,North America,1,
237,2024-01-25,Premium,Monthly,39.99,paypal,Asia,1,
238,2023-01-02,Premium,Annual,39.99,credit_card,North America,0,2025-01-21
239,2024-06-25,Basic,Monthly,9.99,paypal,Asia,0,2025-09-03
240,2025-03-13,Premium,Annual,39.99,bank_transfer,South America,1,
241,2023-01-06,Basic,Monthly,9.99,apple_pay,North America,1,
242,2024-04-03,Basic,Monthly,9.99,apple_pay,Europe,1,
243,2023-03-23,Basic,Monthly,9.99,bank_transfer,North America,0,2025-10-26
244,2024-03-30,Premium,Monthly,39.99,credit_card,Oceania,1,
245,2025-01-31,Basic,Annual,9.99,bank_transfer,North America,1,
246,2025-03-30,Basic,Monthly,9.99,apple_pay,North America,1,
247,2025-03-31,Basic,Monthly,9.99,paypal,North America,0,2025-07-12
248,2025-04-13,Standard,Annual,19.99,paypal,Europe,1,
249,2025-08-03,Basic,Annual,9.99,credit_card,Asia,0,2025-12-05
250,2025-04-16,Basic,Monthly,9.99,credit_card,North America,1,
251,2023-07-31,Basic,Monthly,9.99,credit_card,North America,1,
252,2025-08-05,Basic,Annual,9.99,credit_card,North America,1,
253,2025-05-18,Basic,Annual,9.99,bank_transfer,Asia,1,
254,2024-02-16,Premium,Monthly,39.99,paypal,Asia,1,
255,2025-06-22,Standard,Monthly,19.99,bank_transfer,Europe,1,
256,2024-12-17,Standard,Monthly,19.99,credit_card,North America,1,
257,2024-05-30,Basic,Annual,9.99,apple_pay,North America,1,
258,2025-10-24,Standard,Monthly,19.99,bank_transfer,Oceania,1,
259,2023-10-16,Basic,Monthly,9.99,credit_card,Oceania,0,2025-05-01
260,2024-08-31,Basic,Annual,9.99,credit_card,Oceania,1,
261,2023-03-09,Standard,Monthly,19.99,paypal,Europe,0,2025-08-22
262,2024-07-21,Standard,Monthly,19.99,credit_card,North America,1,
263,2024-11-06,Basic,Annual,9.99,credit_card,Asia,1,
264,2024-09-03,Standard,Annual,19.99,credit_card,Europe,1,
265,2023-08-17,Basic,Annual,9.99,paypal,Europe,1,
266,2025-10-15,Standard,Monthly,19.99,paypal,North America,1,
267,2023-04-26,Standard,Monthly,19.99,apple_pay,South America,1,
268,2024-10-03,Basic,Monthly,9.99,credit_card,North America,1,
269,2025-08-20,Basic,Annual,9.99,paypal,Asia,1,
270,2023-11-03,Standard,Monthly,19.99,paypal,Europe,1,
271,2024-11-08,Standard,Monthly,19.99,credit_card,North America,1,
272,2025-04-02,Standard,Annual,19.99,credit_card,Asia,1,
273,2024-12-18,Premium,Monthly,39.99,paypal,North America,1,
274,2024-02-01,Standard,Monthly,19.99,credit_card,Europe,1,
275,2023-12-03,Basic,Monthly,9.99,credit_card,North America,1,
276,2023-02-10,Basic,Annual,9.99,paypal,Asia,1,
277,2024-06-30,Premium,Monthly,39.99,paypal,Europe,1,
278,2024-04-03,Standard,Monthly,19.99,apple_pay,Europe,1,
279,2024-07-04,Basic,Monthly,9.99,credit_card,North America,1,
280,2025-07-15,Standard,Monthly,19.99,paypal,North America,0,2025-12-24
281,2025-05-27,Basic,Monthly,9.99,credit_card,Asia,1,
282,2025-03-08,Standard,Annual,19.99,apple_pay,North America,1,
283,2025-07-11,Basic,Monthly,9.99,apple_pay,Oceania,1,
284,2024-05-05,Premium,Monthly,39.99,paypal,Asia,1,
285,2023-02-10,Premium,Annual,39.99,apple_pay,Asia,1,
286,2025-01-27,Standard,Monthly,19.99,paypal,Europe,1,
287,2023-01-16,Basic,Monthly,9.99,credit_card,Asia,0,2024-10-08
288,2025-02-10,Standard,Monthly,19.99,credit_card,North America,1,
289,2023-12-23,Basic,Monthly,9.99,credit_card,Asia,0,2025-04-08
290,2024-02-12,Basic,Monthly,9.99,bank_transfer,South America,0,2025-05-12
291,2025-04-30,Standard,Monthly,19.99,credit_card,Europe,1,
292,2023-08-25,Premium,Monthly,39.99,credit_card,Europe,1,
293,2024-10-25,Basic,Annual,9.99,credit_card,Europe,1,
294,2023-05-21,Standard,Annual,19.99,paypal,North America,1,
295,2024-06-27,Basic,Monthly,9.99,credit_card,Europe,0,2025-01-08
296,2023-07-01,Basic,Annual,9.99,credit_card,South America,1,
297,2025-04-17,Standard,Annual,19.99,apple_pay,Oceania,0,2025-10-05
298,2024-05-31,Standard,Monthly,19.99,credit_card,Europe,1,
299,2025-05-26,Standard,Annual,19.99,credit_card,Europe,1,
300,2023-10-09,Standard,Monthly,19.99,credit_card,North America,1,
301,2024-07-09,Basic,Annual,9.99,credit_card,Asia,1,
302,2024-04-19,Premium,Monthly,39.99,paypal,Oceania,0,2024-11-30
303,2025-06-09,Basic,Monthly,9.99,credit_card,Asia,1,
304,2025-01-10,Standard,Annual,19.99,credit_card,South America,1,
305,2025-04-22,Premium,Monthly,39.99,credit_card,North America,0,2025-11-02
306,2025-01-27,Basic,Monthly,9.99,credit_card,Europe,0,2025-07-01
307,2024-07-21,Basic,Monthly,9.99,credit_card,North America,1,
308,2025-02-17,Premium,Monthly,39.99,paypal,Europe,0,2025-10-05
309,2024-05-17,Basic,Monthly,9.99,bank_transfer,South America,0,2025-12-23
310,2024-02-17,Basic,Annual,9.99,paypal,South America,1,
311,2025-07-29,Basic,Monthly,9.99,credit_card,North America,0,2025-12-30
312,2025-01-04,Premium,Monthly,39.99,credit_card,Oceania,0,2025-08-11
313,2024-04-13,Premium,Monthly,39.99,paypal,North America,1,
314,2024-08-20,Premium,Monthly,39.99,paypal,Asia,1,
315,2025-03-12,Premium,Monthly,39.99,paypal,Oceania,1,
316,2025-04-22,Basic,Monthly,9.99,paypal,North America,1,
317,2023-12-26,Basic,Monthly,9.99,paypal,Europe,1,
318,2024-10-23,Basic,Annual,9.99,credit_card,North America,1,
319,2023-04-07,Basic,Annual,9.99,credit_card,Asia,1,
320,2023-03-07,Standard,Annual,19.99,credit_card,North America,1,
321,2024-02-14,Basic,Monthly,9.99,credit_card,South America,0,2024-12-17
322,2025-01-23,Basic,Monthly,9.99,credit_card,North America,1,
323,2025-04-16,Basic,Monthly,9.99,credit_card,North America,0,2025-08-15
324,2023-09-10,Premium,Monthly,39.99,paypal,North America,1,
325,2023-10-24,Premium,Annual,39.99,credit_card,Asia,1,
326,2023-07-20,Basic,Annual,9.99,bank_transfer,North America,1,
327,2024-11-06,Standard,Annual,19.99,paypal,Asia,1,
328,2025-07-23,Basic,Monthly,9.99,credit_card,North America,1,
329,2023-09-26,Basic,Annual,9.99,credit_card,North America,1,
330,2024-05-30,Standard,Monthly,19.99,credit_card,Europe,1,
331,2024-03-12,Basic,Annual,9.99,bank_transfer,Oceania,1,
332,2023-06-17,Basic,Annual,9.99,paypal,North America,1,
333,2025-04-28,Standard,Annual,19.99,credit_card,Europe,0,2025-11-27
334,2025-02-04,Basic,Monthly,9.99,credit_card,South America,0,2025-12-05
335,2023-10-25,Standard,Annual,19.99,credit_card,North America,1,
336,2025-07-17,Premium,Monthly,39.99,apple_pay,North America,0,2025-11-10
337,2023-03-14,Basic,Monthly,9.99,credit_card,Europe,0,2025-01-20
338,2023-04-16,Standard,Monthly,19.99,credit_card,Europe,1,
339,2024-06-14,Basic,Annual,9.99,paypal,Asia,1,
340,2025-06-13,Standard,Monthly,19.99,credit_card,North America,1,
341,2025-02-21,Basic,Monthly,9.99,paypal,North America,1,
342,2024-11-09,Basic,Monthly,9.99,apple_pay,Europe,1,
343,2023-07-26,Basic,Monthly,9.99,paypal,Oceania,0,2025-01-04
344,2023-06-21,Basic,Annual,9.99,paypal,Asia,1,
345,2023-05-16,Standard,Annual,19.99,bank_transfer,North America,1,
346,2023-04-17,Premium,Monthly,39.99,credit_card,North America,1,
347,2024-11-15,Basic,Annual,9.99,bank_transfer,North America,1,
348,2023-11-13,Standard,Monthly,19.99,credit_card,North America,1,
349,2025-09-22,Basic,Annual,9.99,apple_pay,Asia,1,
350,2025-01-02,Basic,Monthly,9.99,paypal,Europe,1,
351,2024-02-21,Basic,Monthly,9.99,credit_card,North America,1,
352,2023-02-18,Standard,Monthly,19.99,apple_pay,North America,1,
353,2025-08-24,Basic,Annual,9.99,credit_card,North America,1,
354,2023-10-01,Standard,Monthly,19.99,bank_transfer,North America,1,
355,2024-08-15,Basic,Monthly,9.99,credit_card,North America,0,2025-07-01
356,2023-10-09,Standard,Monthly,19.99,bank_transfer,Asia,0,2024-10-30
357,2025-10-08,Premium,Monthly,39.99,paypal,Europe,1,
358,2023-02-26,Standard,Annual,19.99,credit_card,Asia,1,
359,2025-09-09,Standard,Monthly,19.99,credit_card,Europe,1,
360,2023-05-20,Standard,Monthly,19.99,credit_card,North America,0,2024-10-02
361,2025-07-23,Standard,Monthly,19.99,paypal,Asia,0,2025-10-03
362,2024-11-19,Basic,Annual,9.99,apple_pay,North America,0,2025-10-15
363,2025-04-11,Standard,Monthly,19.99,credit_card,Europe,1,
364,2023-01-10,Basic,Monthly,9.99,paypal,Asia,1,
365,2023-05-12,Premium,Monthly,39.99,paypal,North America,1,
366,2024-11-25,Premium,Monthly,39.99,paypal,Europe,0,2025-06-30
367,2025-03-01,Basic,Annual,9.99,credit_card,North America,1,
368,2023-06-09,Premium,Annual,39.99,credit_card,Europe,1,
369,2024-01-17,Standard,Monthly,19.99,credit_card,Europe,1,
370,2024-06-03,Standard,Monthly,19.99,bank_transfer,Oceania,1,
371,2025-05-19,Standard,Monthly,19.99,credit_card,Europe,1,
372,2023-07-28,Standard,Annual,19.99,paypal,Asia,1,
373,2024-01-24,Basic,Monthly,9.99,paypal,Asia,1,
374,2024-10-04,Standard,Monthly,19.99,paypal,Asia,1,
375,2024-02-26,Basic,Annual,9.99,paypal,Europe,1,
376,2024-10-02,Basic,Monthly,9.99,credit_card,South America,1,
377,2024-05-27,Basic,Annual,9.99,credit_card,Asia,1,
378,2023-02-04,Standard,Annual,19.99,credit_card,North America,1,
379,2023-03-21,Standard,Monthly,19.99,bank_transfer,Europe,0,2025-03-22
380,2023-11-25,Premium,Monthly,39.99,credit_card,South America,1,
381,2025-02-11,Standard,Monthly,19.99,credit_card,North America,1,
382,2025-07-24,Basic,Monthly,9.99,paypal,North America,0,2025-10-23
383,2024-03-28,Standard,Annual,19.99,credit_card,South America,1,
384,2024-05-05,Standard,Monthly,19.99,paypal,Europe,1,
385,2025-10-15,Standard,Monthly,19.99,credit_card,Europe,1,
386,2025-09-14,Basic,Monthly,9.99,paypal,North America,0,2025-12-30
387,2023-09-08,Basic,Monthly,9.99,credit_card,Europe,1,
388,2023-02-21,Basic,Monthly,9.99,credit_card,North America,1,
389,2024-06-26,Standard,Monthly,19.99,paypal,North America,0,2024-11-28
390,2024-06-27,Premium,Monthly,39.99,paypal,Asia,1,
391,2023-06-29,Standard,Annual,19.99,credit_card,South America,0,2024-08-28
392,2023-06-19,Basic,Monthly,9.99,credit_card,North America,0,2024-06-23
393,2024-07-22,Standard,Annual,19.99,paypal,North America,1,
394,2024-08-07,Basic,Monthly,9.99,apple_pay,South America,1,
395,2024-09-01,Standard,Monthly,19.99,credit_card,Europe,1,
396,2024-12-14,Basic,Annual,9.99,bank_transfer,Europe,1,
397,2023-08-24,Basic,Annual,9.99,bank_transfer,South America,1,
398,2023-10-24,Basic,Annual,9.99,paypal,Europe,1,
399,2024-03-31,Basic,Monthly,9.99,credit_card,South America,1,
400,2024-10-06,Basic,Monthly,9.99,credit_card,Asia,1,
401,2025-04-10,Standard,Annual,19.99,credit_card,South America,1,
