customer_id,signup_date,plan_type,contract_type,monthly_fee,payment_method,region,is_active,cancel_date,churn,cutoff_date,observation_window_end,tenure_days
130,2023-05-27,Basic,Monthly,9.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,949
131,2024-07-29,Standard,Annual,19.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,520
132,2025-07-16,Standard,Monthly,19.99,credit_card,Asia,0,2025-09-25,1,2025-09-25,2025-12-31,71
133,2023-01-22,Standard,Annual,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,1074
134,2025-08-23,Basic,Monthly,9.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,130
135,2025-04-12,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,263
136,2024-06-24,Basic,Annual,9.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,555
137,2025-04-06,Standard,Monthly,19.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,269
138,2024-12-13,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,383
139,2023-09-01,Premium,Annual,39.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,852
140,2024-09-10,Standard,Monthly,19.99,bank_transfer,Europe,0,2025-07-20,1,2025-07-20,2025-12-31,313
141,2023-09-27,Basic,Annual,9.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,826
142,2024-12-30,Standard,Annual,19.99,credit_card,South America,1,,0,2025-12-31,2025-12-31,366
143,2023-12-28,Basic,Monthly,9.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,734
144,2024-08-30,Standard,Annual,19.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,488
145,2025-10-29,Basic,Monthly,9.99,apple_pay,South America,1,,0,2025-12-31,2025-12-31,63
146,2023-08-19,Standard,Monthly,19.99,credit_card,North America,0,2024-07-18,1,2024-07-18,2025-12-31,334
147,2023-02-19,Premium,Monthly,39.99,paypal,North America,1,,0,2025-12-31,2025-12-31,1046
148,2025-08-19,Basic,Annual,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,134
149,2024-07-08,Basic,Annual,9.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,541
150,2025-09-03,Premium,Monthly,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,119
151,2023-08-01,Standard,Monthly,19.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,883
152,2023-07-29,Premium,Monthly,39.99,credit_card,Europe,0,2024-05-30,1,2024-05-30,2025-12-31,306
153,2023-10-18,Basic,Annual,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,805
154,2024-07-12,Standard,Annual,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,537
155,2025-01-18,Basic,Monthly,9.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,347
156,2023-01-09,Basic,Annual,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,1087
157,2025-04-19,Standard,Monthly,19.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,256
158,2024-01-01,Basic,Monthly,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,730
159,2023-03-04,Basic,Monthly,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,1033
160,2023-05-25,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,951
161,2024-03-08,Basic,Monthly,9.99,paypal,South America,1,,0,2025-12-31,2025-12-31,663
162,2024-02-08,Basic,Annual,9.99,credit_card,Europe,0,2025-05-06,1,2025-05-06,2025-12-31,453
163,2024-09-13,Standard,Monthly,19.99,apple_pay,Asia,1,,0,2025-12-31,2025-12-31,474
164,2024-09-10,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,477
165,2023-04-01,Premium,Annual,39.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,1005
166,2024-07-11,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,538
167,2024-03-04,Premium,Annual,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,667
168,2025-07-05,Premium,Monthly,39.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,179
169,2024-09-23,Basic,Monthly,9.99,paypal,South America,1,,0,2025-12-31,2025-12-31,464
170,2025-03-15,Basic,Annual,9.99,credit_card,South America,0,2025-10-18,1,2025-10-18,2025-12-31,217
171,2024-12-31,Basic,Monthly,9.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,365
172,2023-11-22,Premium,Monthly,39.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,770
173,2023-09-03,Standard,Monthly,19.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,850
174,2024-10-31,Premium,Monthly,39.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,426
175,2024-11-29,Premium,Monthly,39.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,397
176,2025-05-26,Basic,Monthly,9.99,credit_card,Asia,0,2025-09-13,1,2025-09-13,2025-12-31,110
177,2023-12-27,Basic,Monthly,9.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,735
178,2024-11-27,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,399
179,2023-09-14,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,839
180,2025-08-30,Basic,Monthly,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,123
181,2024-09-15,Standard,Monthly,19.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,472
182,2025-02-14,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,320
183,2023-10-02,Premium,Annual,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,821
184,2024-11-05,Basic,Monthly,9.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,421
185,2024-03-30,Standard,Monthly,19.99,paypal,Europe,0,2025-02-27,1,2025-02-27,2025-12-31,334
186,2025-10-31,Premium,Monthly,39.99,credit_card,South America,1,,0,2025-12-31,2025-12-31,61
187,2024-07-09,Premium,Monthly,39.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,540
188,2025-04-13,Basic,Monthly,9.99,credit_card,North America,0,2025-10-24,1,2025-10-24,2025-12-31,194
189,2023-05-25,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,951
190,2025-09-10,Premium,Annual,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,112
191,2025-07-05,Premium,Annual,39.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,179
192,2023-03-29,Basic,Monthly,9.99,apple_pay,Europe,0,2025-08-07,1,2025-08-07,2025-12-31,862
193,2023-07-21,Standard,Monthly,19.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,894
194,2024-09-16,Basic,Monthly,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,471
195,2023-07-25,Basic,Monthly,9.99,paypal,South America,1,,0,2025-12-31,2025-12-31,890
196,2023-03-11,Standard,Monthly,19.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,1026
197,2024-06-01,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,578
198,2023-10-14,Standard,Annual,19.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,809
199,2025-07-17,Standard,Monthly,19.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,167
200,2023-03-20,Basic,Monthly,9.99,paypal,North America,1,,0,2025-12-31,2025-12-31,1017
201,2023-03-08,Standard,Monthly,19.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,1029
202,2024-11-24,Standard,Monthly,19.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,402
203,2023-03-13,Premium,Annual,39.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,1024
204,2024-02-25,Basic,Annual,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,675
205,2023-05-04,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,972
206,2023-08-01,Basic,Annual,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,883
207,2025-06-13,Basic,Monthly,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,201
208,2025-09-21,Basic,Monthly,9.99,credit_card,North America,0,2025-12-04,1,2025-12-04,2025-12-31,74
209,2023-02-24,Premium,Annual,39.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,1041
210,2024-10-15,Basic,Monthly,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,442
211,2023-01-07,Standard,Monthly,19.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,1089
212,2023-10-15,Basic,Monthly,9.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,808
213,2024-04-26,Basic,Monthly,9.99,credit_card,Oceania,1,,0,2025-12-31,2025-12-31,614
214,2025-06-22,Basic,Annual,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,192
215,2023-10-30,Premium,Annual,39.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,793
216,2024-07-16,Premium,Annual,39.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,533
217,2024-07-17,Basic,Monthly,9.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,532
218,2025-01-13,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,352
219,2023-01-26,Premium,Annual,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,1070
220,2023-12-19,Basic,Monthly,9.99,apple_pay,Europe,0,2025-06-05,1,2025-06-05,2025-12-31,534
221,2025-07-08,Standard,Annual,19.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,176
222,2025-07-31,Premium,Monthly,39.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,153
223,2023-08-29,Standard,Monthly,19.99,credit_card,North America,0,2025-07-06,1,2025-07-06,2025-12-31,677
224,2025-09-30,Basic,Monthly,9.99,credit_card,Europe,1,,0,2025-12-31,2025-12-31,92
225,2024-05-24,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,586
226,2024-06-07,Standard,Monthly,19.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,572
227,2023-04-17,Premium,Monthly,39.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,989
228,2023-03-14,Standard,Monthly,19.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,1023
229,2023-02-10,Premium,Monthly,39.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,1055
230,2025-03-14,Basic,Monthly,9.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,292
231,2023-04-20,Premium,Monthly,39.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,986
232,2023-08-09,Standard,Annual,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,875
233,2024-06-24,Basic,Monthly,9.99,paypal,Asia,0,2025-05-04,1,2025-05-04,2025-12-31,314
234,2024-06-21,Standard,Annual,19.99,credit_card,Asia,1,,0,2025-12-31,2025-12-31,558
235,2023-04-04,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,1002
236,2023-09-15,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,838
237,2024-01-25,Premium,Monthly,39.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,706
238,2023-01-02,Premium,Annual,39.99,credit_card,North America,0,2025-01-21,1,2025-01-21,2025-12-31,750
239,2024-06-25,Basic,Monthly,9.99,paypal,Asia,0,2025-09-03,1,2025-09-03,2025-12-31,435
240,2025-03-13,Premium,Annual,39.99,bank_transfer,South America,1,,0,2025-12-31,2025-12-31,293
241,2023-01-06,Basic,Monthly,9.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,1090
242,2024-04-03,Basic,Monthly,9.99,apple_pay,Europe,1,,0,2025-12-31,2025-12-31,637
243,2023-03-23,Basic,Monthly,9.99,bank_transfer,North America,0,2025-10-26,1,2025-10-26,2025-12-31,948
244,2024-03-30,Premium,Monthly,39.99,credit_card,Oceania,1,,0,2025-12-31,2025-12-31,641
245,2025-01-31,Basic,Annual,9.99,bank_transfer,North America,1,,0,2025-12-31,2025-12-31,334
246,2025-03-30,Basic,Monthly,9.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,276
247,2025-03-31,Basic,Monthly,9.99,paypal,North America,0,2025-07-12,1,2025-07-12,2025-12-31,103
248,2025-04-13,Standard,Annual,19.99,paypal,Europe,1,,0,2025-12-31,2025-12-31,262
249,2025-08-03,Basic,Annual,9.99,credit_card,Asia,0,2025-12-05,1,2025-12-05,2025-12-31,124
250,2025-04-16,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,259
251,2023-07-31,Basic,Monthly,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,884
252,2025-08-05,Basic,Annual,9.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,148
253,2025-05-18,Basic,Annual,9.99,bank_transfer,Asia,1,,0,2025-12-31,2025-12-31,227
254,2024-02-16,Premium,Monthly,39.99,paypal,Asia,1,,0,2025-12-31,2025-12-31,684
255,2025-06-22,Standard,Monthly,19.99,bank_transfer,Europe,1,,0,2025-12-31,2025-12-31,192
256,2024-12-17,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,379
257,2024-05-30,Basic,Annual,9.99,apple_pay,North America,1,,0,2025-12-31,2025-12-31,580
258,2025-10-24,Standard,Monthly,19.99,bank_transfer,Oceania,1,,0,2025-12-31,2025-12-31,68
259,2023-10-16,Basic,Monthly,9.99,credit_card,Oceania,0,2025-05-01,1,2025-05-01,2025-12-31,563
260,2024-08-31,Basic,Annual,9.99,credit_card,Oceania,1,,0,2025-12-31,2025-12-31,487
261,2023-03-09,Standard,Monthly,19.99,paypal,Europe,0,2025-08-22,1,2025-08-22,2025-12-31,897
262,2024-07-21,Standard,Monthly,19.99,credit_card,North America,1,,0,2025-12-31,2025-12-31,528
